Send Rates,Block Size,Avg Latency,Throughput
120.4,150,0.83,97.6
120.5,160,0.83,97.2
120.5,170,0.82,97.6
120.5,180,0.8,96.9
120.4,190,0.82,97.5
120.4,200,0.79,97.4
130.5,10,0.16,102.8
130.5,20,0.21,103.7
130.5,30,0.24,103.2
130.6,40,0.35,105.4
130.4,50,0.35,128.9
130.6,60,0.46,105.1
130.6,70,0.51,104.1
130.4,80,0.55,105.5
130.5,90,0.56,103.4
130.6,100,0.76,110.4
130.2,110,0.76,103.4
130.3,120,0.82,105.1
128.3,130,3.88,103.4
130.5,140,0.83,121.6
130.6,150,0.81,121.8
130.4,160,0.85,121
130.3,170,0.85,120.5
130.4,180,0.82,121.1
130.5,190,0.85,120.1
130.4,200,0.85,120.7
140.5,10,0.66,108.4
140.5,20,0.23,109.9
140.4,30,0.29,109.2
140.7,40,0.29,139.5
140.4,50,0.48,112.3
140.5,60,0.43,111.6
140.2,70,0.53,110
140.4,80,0.58,111.9
140.3,90,0.57,109.6
140.4,100,0.76,116.5
140.3,110,0.71,109.5
140.6,120,0.94,111.4
140.4,130,1.97,117.5
140.6,140,0.81,122.1
140.6,150,0.77,122
140.6,160,0.79,121.6
140.5,170,0.81,121.5
140.5,180,0.78,121.7
140.4,190,0.8,122
140.6,200,0.75,121.2
150.4,10,1.55,114.1
150,20,0.39,114.4
150.5,30,0.35,115.2
150.5,40,0.4,117.4
150.3,50,0.51,118.3
150.6,60,0.45,117.6
150.6,70,0.52,116.2
149.9,80,0.57,117.6
150.4,90,0.54,115.5
150.3,100,0.73,122.3
150.4,110,0.69,115.2
150.4,120,0.94,117.4
150.4,130,2.55,121
150.5,140,0.9,120.8
150.6,150,0.85,121.4
150.4,160,0.88,121
150.5,170,0.84,121
150.5,180,0.85,120.1
150.5,190,0.83,120.7
150.6,200,0.9,121
160.6,10,1.74,119.3
160.6,20,0.6,120
160.5,30,0.58,120.1
160.5,40,0.47,123.3
160.3,50,0.72,122.8
160.6,60,0.49,123.7
160.3,70,0.74,121.8
160.6,80,0.61,123.8
160.5,90,0.6,121.5
160.2,100,0.84,127.5
160.5,110,0.91,120.8
160.5,120,1.42,121.2
160.6,130,3.38,118.6
160.5,140,0.87,121.9
160.7,150,0.9,121.3
160.5,160,0.83,121.5
160.5,170,0.86,122.1
160.7,180,0.86,121.7
160.3,190,0.85,121.8
160.4,200,0.86,120.5
170.5,10,2,124.5
170.5,20,1.11,124.6
170.4,30,1.14,124.7
170.5,40,0.88,126.9
170.6,50,1.85,126.4
170.6,60,0.61,128
170.8,70,1.18,125.3
170.5,80,0.7,129.1
170.5,90,0.6,127
170.4,100,0.85,134.5
170.6,110,0.93,124.9
170.6,120,1.31,127.4
149.9,130,3.62,79.3
170.3,140,1.21,160.4
170.5,150,0.88,160.6
170.6,160,0.83,161
170.5,170,0.8,158.8
170.2,180,0.88,161.9
170.5,190,0.84,160.2
170.8,200,0.89,159.6
180.6,10,2.37,129.7
180.8,20,1.76,130.2
180.4,30,1.96,127.6
180.1,40,1.22,130.3
180.6,50,1.88,129.3
180.5,60,1.33,130.3
180.4,70,1.36,128.1
180.4,80,0.95,131.8
180.6,90,1.17,129.7
180.9,100,1.04,137.9
180.7,110,1.8,128.5
180.2,120,1.85,129.5
175.6,130,3.58,117.4
180,140,1.47,161
180.4,150,1.35,160.3
180.5,160,1.59,159.4
180.4,170,1.86,161.4
180.7,180,1.55,159.7
180.5,190,1.39,159.6
180.5,200,1.17,162.4
189.5,10,2.44,131.4
190.4,20,1.95,132.9
190.1,30,2.08,132.6
190.5,40,1.5,136
190.4,50,2.01,131.5
190.7,60,1.33,136.5
190.8,70,1.46,133.6
190.7,80,1.79,132.7
190.5,90,1.34,135.8
190.9,100,1.45,140.2
190.6,110,1.51,133.8
189.5,120,2.19,132.7
187.4,130,2.76,149.7
190.6,140,1.21,161.7
190.7,150,1.57,159.9
190.9,160,1.55,161.1
190.8,170,1.51,161.1
190.6,180,1.5,161
187.2,190,1.4,160.6
188.5,200,1.33,161.8
200.8,10,2.56,135.4
199.9,20,2.29,134.2
200.4,30,2.19,134.7
200.6,40,1.59,140
198.3,50,2.36,132.7
199.5,60,2.13,134.8
200.5,70,2.44,134
181.8,80,2.03,125.9
