Send Rates,Block Size,Avg Latency,Throughput
10,10,0.3,10
10,20,0.81,10
10,30,1.13,9.9
10,40,1.14,9.9
10,50,1.14,9.9
10,60,1.12,10
10,70,1.16,9.8
10,80,1.18,10
10,90,1.18,10
10,100,1.18,9.8
10,110,1.13,10
10,120,1.14,9.9
10,130,1.21,9.8
10,140,1.19,9.9
10,150,1.14,9.9
10,160,1.16,9.8
10,170,1.17,9.8
10,180,1.18,9.9
10,190,1.18,9.9
10,200,1.17,10
20.1,10,0.18,20.1
20.1,20,0.44,20.1
20.1,30,0.71,19.4
20.1,40,0.96,20.1
20.1,50,1.13,19.4
20.1,60,1.14,20
20.1,70,1.14,19.3
20.1,80,1.17,19.9
20.1,90,1.2,19.9
20.1,100,1.17,20
20.1,110,1.17,19.3
20.1,120,1.15,19.4
20.1,130,1.17,19.3
20.1,140,1.18,19.8
20.1,150,1.16,19.9
20.1,160,1.17,19.9
20.1,170,1.18,19.8
20.1,180,1.16,19.9
20.1,190,1.14,19.3
20.1,200,1.18,20
30.1,10,0.13,30.1
30.1,20,0.31,30.1
30.1,30,0.5,28.5
30.1,40,0.66,30.1
30.1,50,0.83,30.1
30.1,60,1.04,29.3
30.1,70,1.16,28.7
30.1,80,1.14,28.6
30.1,90,1.16,28.5
30.1,100,1.15,28.5
30.1,110,1.15,28.5
30.1,120,1.15,28.5
30.1,130,1.17,28.8
30.1,140,1.16,28.5
30.1,150,1.16,28.6
30.1,160,1.16,28.4
30.1,170,1.17,28.5
30.1,180,1.15,28.6
30.1,190,1.14,28.8
30.1,200,1.17,28.7
40.2,10,0.1,40.1
40.2,20,0.24,40.1
40.2,30,0.39,37.3
40.2,40,0.51,40.1
40.2,50,0.64,40.1
40.2,60,0.81,38.3
40.2,70,0.93,37.6
40.2,80,1.08,38.3
40.2,90,1.13,37.4
40.2,100,1.19,37.2
40.2,110,1.21,37.4
40.2,120,1.18,37.5
40.2,130,1.16,37.6
40.2,140,1.14,37.4
40.2,150,1.15,37.4
40.2,160,1.17,37.6
40.2,170,1.18,37.4
40.2,180,1.13,37.4
40.2,190,1.15,37.3
40.2,200,1.16,39.8
50.2,10,0.09,50.1
50.2,20,0.2,50.1
50.2,30,0.33,45.8
50.2,40,0.42,50.1
50.2,50,0.53,50.1
50.2,60,0.68,47
50.2,70,0.78,46.2
50.2,80,0.92,46.9
50.2,90,1.03,45.6
50.2,100,1.2,49.8
50.2,110,1.22,47.8
50.2,120,1.24,48.2
50.2,130,1.24,48.2
50.2,140,1.21,47.5
50.2,150,1.21,47.5
50.2,160,1.21,48.6
50.2,170,1.21,48.4
50.2,180,1.21,48.3
50.2,190,1.19,48.2
50.2,200,1.19,48.2
60.3,10,0.08,60.2
60.3,20,0.17,60.1
60.3,30,0.28,54
60.3,40,0.36,60.1
60.2,50,0.46,60
60.3,60,0.6,55.3
60.3,70,0.68,54.3
60.2,80,0.8,55.2
60.2,90,0.88,53.7
60.2,100,0.96,59.8
60.2,110,1.1,53.8
60.3,120,1.22,55
60.2,130,1.26,53.6
60.2,140,1.34,53.5
60.2,150,1.29,54
60.2,160,1.28,53.7
60.3,170,1.24,53.9
60.3,180,1.23,59.3
60.2,190,1.22,54.1
60.3,200,1.23,54.5
70.4,10,0.07,70.2
70.3,20,0.16,70.1
70.4,30,0.25,61.8
70.3,40,0.32,70
70.3,50,0.41,70.1
70.3,60,0.55,63.3
70.3,70,0.61,62.2
70.3,80,0.73,63
70.3,90,0.8,61.6
70.3,100,0.87,69.7
70.3,110,0.97,61.7
70.3,120,1.07,63.2
70.4,130,1.07,61.5
70.3,140,1.1,61.3
70.3,150,1.07,69.7
70.3,160,1.11,61.4
70.3,170,1.16,61.5
70.3,180,1.06,61.4
70.3,190,1.05,61.6
