Send Rates,Block Size,Avg Latency,Throughput
25.1,50,1.01,25
25.1,60,1.16,24.2
25.1,70,1.17,24.1
25.1,80,1.15,24.2
25.1,90,1.15,24.4
25.1,100,1.17,24.2
25.1,110,1.16,24.3
25.1,120,1.17,24.1
25.1,130,1.17,24.2
25.1,140,1.19,24.1
25.1,150,1.16,24.1
25.1,160,1.19,24
25.1,170,1.17,24.1
25.1,180,1.17,24.1
25.1,190,1.18,24.2
25.1,200,1.17,24.2
25.1,210,1.15,24.2
25.1,220,1.17,24
25.1,230,1.18,24.1
25.1,240,1.16,24.2
25.1,250,1.16,24.2
25.1,260,1.18,24.2
25.1,270,1.17,24.2
25.1,280,1.16,24.1
25.1,290,1.18,24.1
25.1,300,1.18,23.9
25.1,310,1.18,24.1
25.1,320,1.18,24.1
25.1,330,1.17,23.9
25.1,340,1.15,24.1
25.1,350,1.17,24.2
25.1,360,1.16,24.1
25.1,370,1.17,24.3
25.1,380,1.15,24.2
25.1,390,1.17,23.9
25.1,400,1.17,24.2
25.1,410,1.16,24.1
25.1,420,1.17,24.2
25.1,430,1.19,24.3
25.1,440,1.17,24.1
25.1,450,1.18,24.1
25.1,460,1.18,23.9
25.1,470,1.17,24.2
25.1,480,1.16,23.9
25.1,490,1.17,24.2
25.1,500,1.16,24.2
25.1,510,1.16,24.1
25.1,520,1.17,24.1
25.1,530,1.19,24.2
25.1,540,1.19,24.1
25.1,550,1.18,24.2
25.1,560,1.18,24.1
25.1,570,1.17,24.3
25.1,580,1.16,24.2
25.1,590,1.18,24.2
25.1,600,1.18,24.1
25.1,610,1.18,24.2
25.1,620,1.17,24.1
25.1,630,1.17,24.1
25.1,640,1.16,24.1
25.1,650,1.18,24.2
25.1,660,1.18,24.2
25.1,670,1.16,24.3
25.1,680,1.16,24
25.1,690,1.15,24.1
25.1,700,1.14,24
25.1,710,1.16,24.2
25.1,720,1.16,24.2
25.1,730,1.18,24.2
25.1,740,1.19,24
25.1,750,1.17,24.2
25.1,760,1.17,23.9
25.1,770,1.17,24.2
25.1,780,1.18,23.9
25.1,790,1.18,24
25.1,800,1.16,24
30.1,10,0.13,30.1
30.1,20,0.31,30.1
30.1,30,0.51,28.5
30.1,40,0.67,30.1
30.1,50,0.85,30
30.1,60,1.05,29.3
30.1,70,1.16,28.8
30.1,80,1.15,28.6
30.1,90,1.16,28.6
30.1,100,1.14,28.7
30.1,110,1.15,28.4
30.1,120,1.14,28.6
30.1,130,1.17,28.5
30.1,140,1.15,28.5
30.1,150,1.15,28.6
30.1,160,1.18,28.5
30.2,170,1.17,28.5
30.1,180,1.16,30
30.1,190,1.17,28.5
30.1,200,1.17,28.6
30.1,210,1.15,28.7
30.1,220,1.17,28.5
30.1,230,1.16,28.7
30.1,240,1.16,28.5
30.1,250,1.16,28.4
30.1,260,1.15,28.5
30.1,270,1.16,28.8
30.1,280,1.15,28.8
30.1,290,1.18,28.4
30.1,300,1.16,28.7
30.1,310,1.15,28.6
30.1,320,1.16,28.4
30.1,330,1.16,28.4
30.1,340,1.16,28.7
30.1,350,1.15,28.7
30.1,360,1.15,28.6
30.1,370,1.18,28.6
30.1,380,1.15,28.8
30.1,390,1.14,28.6
30.2,400,1.16,28.6
30.1,410,1.16,28.6
30.1,420,1.16,28.6
30.1,430,1.15,28.6
30.1,440,1.17,28.8
30.1,450,1.17,28.5
30.1,460,1.17,28.4
30.1,470,1.17,28.7
30.1,480,1.16,28.6
30.1,490,1.17,28.6
30.1,500,1.14,28.7
30.1,510,1.16,28.8
30.1,520,1.16,28.8
30.1,530,1.16,28.6
30.1,540,1.18,28.5
30.1,550,1.16,28.6
30.1,560,1.17,28.6
30.1,570,1.17,28.4
30.1,580,1.15,28.6
30.1,590,1.15,28.5
30.1,600,1.16,28.6
30.1,610,1.16,28.7
30.2,620,1.17,28.6
30.1,630,1.17,28.6
30.1,640,1.18,28.4
30.1,650,1.15,28.5
30.1,660,1.17,28.9
30.1,670,1.18,28.5
30.1,680,1.16,28.5
30.1,690,1.16,28.6
30.1,700,1.15,28.5
30.1,710,1.17,28.5
30.1,720,1.15,28.6
30.1,730,1.16,28.5
30.1,740,1.18,28.3
30.1,750,1.16,28.8
30.1,760,1.18,28.6
30.1,770,1.15,28.5
30.1,780,1.17,28.5
30.1,790,1.16,28.5
30.1,800,1.13,28.6
35.1,10,0.12,35.1
35.2,20,0.28,35.1
35.2,30,0.45,32.9
35.2,40,0.58,35.1
35.2,50,0.74,35.1
35.2,60,0.92,33.8
35.2,70,1.07,33.2
35.2,80,1.15,34.8
35.2,90,1.16,34.4
35.1,100,1.15,34.5
35.2,110,1.17,34.3
35.2,120,1.18,34.3
35.2,130,1.16,34.4
35.1,140,1.16,34.4
35.2,150,1.17,34.1
35.1,160,1.17,34.3
35.2,170,1.16,34.6
35.2,180,1.19,34.5
35.2,190,1.16,34.6
35.1,200,1.14,34.7
35.2,210,1.17,34.5
35.1,220,1.14,34.8
35.2,230,1.18,34.5
35.2,240,1.18,34.3
35.2,250,1.15,34.6
35.1,260,1.15,34.8
35.2,270,1.15,34.6
35.2,280,1.18,34.3
35.2,290,1.16,34.8
35.2,300,1.18,34.3
35.2,310,1.16,34.6
35.2,320,1.18,34.5
35.2,330,1.15,34.7
35.2,340,1.15,34.7
35.2,350,1.15,34.6
35.2,360,1.16,34.6
35.2,370,1.17,34.9
35.2,380,1.16,34.7
35.2,390,1.16,34.9
35.2,400,1.16,34.7
35.2,410,1.15,34.7
35.2,420,1.14,34.5
35.2,430,1.17,34.6
35.2,440,1.16,34.8
35.1,450,1.14,34.7
35.2,460,1.17,34.8
35.2,470,1.16,34.8
35.2,480,1.16,34.5
35.1,490,1.16,34.5
35.2,500,1.16,34.6
35.2,510,1.16,34.5
35.1,520,1.13,34.8
35.1,530,1.13,34.8
35.2,540,1.18,34.6
35.2,550,1.18,34.5
35.2,560,1.16,34.6
35.2,570,1.17,34.8
35.2,580,1.16,34.8
35.2,590,1.17,34.5
35.2,600,1.17,34.5
35.2,610,1.17,34.6
35.2,620,1.17,34.5
35.2,630,1.17,34.7
35.2,640,1.15,34.8
35.2,650,1.16,34.6
35.1,660,1.15,34.8
35.2,670,1.15,34.6
35.1,680,1.15,34.5
35.2,690,1.17,34.5
35.2,700,1.15,34.3
35.2,710,1.15,34.7
35.2,720,1.18,34.3
35.1,730,1.11,34.8
35.2,740,1.15,34.6
35.1,750,1.13,35
35.2,760,1.15,34.5
35.1,770,1.15,34.8
35.2,780,1.17,34.6
35.1,790,1.14,34.9
35.2,800,1.17,34.3
40.2,10,0.1,40.1
40.2,20,0.25,40.1
40.2,30,0.4,37.3
40.2,40,0.52,40.1
40.2,50,0.66,40
40.2,60,0.83,38.3
40.2,70,0.97,37.6
40.2,80,1.1,38.3
40.2,90,1.17,37.1
40.2,100,1.17,37.1
40.2,110,1.17,37.5
40.2,120,1.16,37.6
40.2,130,1.19,37.3
40.2,140,1.15,37.1
40.2,150,1.18,37.6
40.2,160,1.18,39.8
40.2,170,1.18,37.1
40.2,180,1.17,37.3
40.2,190,1.17,39.8
40.2,200,1.18,37.4
40.2,210,1.17,37.1
40.2,220,1.17,37.4
40.2,230,1.15,37.1
40.2,240,1.18,37.4
40.2,250,1.18,37.4
40.2,260,1.16,37.4
40.2,270,1.18,39.8
40.2,280,1.15,37.5
40.2,290,1.17,37.5
40.2,300,1.15,40
40.2,310,1.17,37.1
40.2,320,1.17,37.3
40.2,330,1.17,37.1
40.2,340,1.21,39.5
40.2,350,1.18,39.5
40.2,360,1.18,37.4
40.2,370,1.16,37.1
40.2,380,1.17,37.4
40.2,390,1.19,39.5
40.2,400,1.18,37.4
40.2,410,1.17,37.1
40.2,420,1.17,37.3
40.2,430,1.17,40
40.2,440,1.19,37.4
40.2,450,1.15,37.6
40.2,460,1.17,37.1
40.2,470,1.15,39.7
40.2,480,1.18,37.1
40.2,490,1.17,37.4
40.2,500,1.15,37.7
40.2,510,1.17,37.3
40.2,520,1.16,37.3
40.2,530,1.18,37.4
40.2,540,1.16,37.3
40.2,550,1.17,37.4
40.2,560,1.17,37.3
40.2,570,1.19,37.6
40.2,580,1.14,37.1
40.2,590,1.17,37.4
40.2,600,1.19,37.8
40.2,610,1.18,37.4
40.2,620,1.17,39.7
40.2,630,1.16,37.5
40.2,640,1.18,37.4
40.2,650,1.19,39.9
40.2,660,1.17,37.3
40.2,670,1.16,37.1
40.2,680,1.2,39.6
40.2,690,1.18,37.2
40.2,700,1.19,39.9
40.2,710,1.16,37.6
40.2,720,1.16,39.9
40.2,730,1.17,37.6
40.2,740,1.16,37.3
40.2,750,1.17,37.3
40.2,760,1.14,37.1
40.2,770,1.16,37.1
40.2,780,1.17,37.4
40.2,790,1.17,37.1
40.2,800,1.18,37.6
45.2,10,0.1,45.1
45.2,20,0.23,45.1
45.2,30,0.36,41.5
45.2,40,0.47,45.1
45.2,50,0.59,45.1
45.2,60,0.76,42.7
45.2,70,0.88,41.9
45.2,80,1.02,42.6
45.2,90,1.12,41.5
45.2,100,1.21,43.6
45.2,110,1.22,43.8
45.2,120,1.21,43.6
45.2,130,1.22,44.4
45.2,140,1.19,43.8
45.2,150,1.22,43.4
45.2,160,1.21,43.6
45.2,170,1.21,43.9
45.2,180,1.21,43.6
45.2,190,1.2,44.5
45.2,200,1.22,43.6
45.2,210,1.21,43.1
45.2,220,1.18,43.8
45.2,230,1.19,44.4
45.2,240,1.2,43.8
