Time,Number
2014-09-01 19:05,25498
2014-09-01 19:10,22174
2014-09-01 19:15,23070
2014-09-01 19:20,19244
2014-09-01 19:25,20542
2014-09-01 19:30,21967
2014-09-01 19:35,21851
2014-09-01 19:40,18649
2014-09-01 19:45,20860
2014-09-01 19:50,21158
2014-09-01 19:55,21863
2014-09-01 20:00,24280
2014-09-01 20:05,22063
2014-09-01 20:10,22871
2014-09-01 20:15,21974
2014-09-01 20:20,20660
2014-09-01 20:25,19349
2014-09-01 20:30,18236
2014-09-01 20:35,18136
2014-09-01 20:40,20561
2014-09-01 20:45,22366
2014-09-01 20:50,19951
2014-09-01 20:55,19947
2014-09-01 21:00,18639
2014-09-01 21:05,21164
2014-09-01 21:10,20141
2014-09-01 21:15,19750
2014-09-01 21:20,18741
2014-09-01 21:25,21346
2014-09-01 21:30,20756
2014-09-01 21:35,18630
2014-09-01 21:40,17039
2014-09-01 21:45,18443
2014-09-01 21:50,19949
2014-09-01 21:55,17838
2014-09-01 22:00,18535
2014-09-01 22:05,18828
2014-09-01 22:10,19735
2014-09-01 22:15,16319
2014-09-01 22:20,19348
2014-09-01 22:25,15424
2014-09-01 22:30,13991
2014-09-01 22:35,15306
2014-09-01 22:40,17733
2014-09-01 22:45,16200
2014-09-01 22:50,17022
2014-09-01 22:55,16116
2014-09-01 23:00,15311
2014-09-01 23:05,18336
2014-09-01 23:10,14187
2014-09-01 23:15,14200
2014-09-01 23:20,12492
2014-09-01 23:25,15703
2014-09-01 23:30,12079
2014-09-01 23:35,11977
2014-09-01 23:40,13493
2014-09-01 23:45,11680
2014-09-01 23:50,12484
2014-09-01 23:55,11190
2014-09-02 00:00,9572
2014-09-02 00:05,10375
2014-09-02 00:10,11477
2014-09-02 00:15,7548
2014-09-02 00:20,11081
2014-09-02 00:25,7359
2014-09-02 00:30,8861
2014-09-02 00:35,8460
2014-09-02 00:40,8457
2014-09-02 00:45,7946
2014-09-02 00:50,8356
2014-09-02 00:55,6850
2014-09-02 01:00,6651
2014-09-02 01:05,8261
2014-09-02 01:10,5534
2014-09-02 01:15,6744
2014-09-02 01:20,3425
2014-09-02 01:25,7243
2014-09-02 01:30,4626
2014-09-02 01:35,5234
2014-09-02 01:40,4825
2014-09-02 01:45,4532
2014-09-02 01:50,4523
2014-09-02 01:55,4129
2014-09-02 02:00,3224
2014-09-02 02:05,2617
2014-09-02 02:10,3825
2014-09-02 02:15,2517
2014-09-02 02:20,3022
2014-09-02 02:25,1915
2014-09-02 02:30,2519
2014-09-02 02:35,2217
2014-09-02 02:40,2318
2014-09-02 02:45,3026
2014-09-02 02:50,1714
2014-09-02 02:55,1815
2014-09-02 03:00,2015
2014-09-02 03:05,2016
2014-09-02 03:10,2616
2014-09-02 03:15,3125
2014-09-02 03:20,3128
2014-09-02 03:25,3426
2014-09-02 03:30,3226
2014-09-02 03:35,4337
2014-09-02 03:40,2921
2014-09-02 03:45,4032
2014-09-02 03:50,4934
2014-09-02 03:55,3630
2014-09-02 04:00,3324
2014-09-02 04:05,4734
2014-09-02 04:10,4023
2014-09-02 04:15,4327
2014-09-02 04:20,4834
2014-09-02 04:25,5241
2014-09-02 04:30,3731
2014-09-02 04:35,5036
2014-09-02 04:40,5838
2014-09-02 04:45,6251
2014-09-02 04:50,4729
2014-09-02 04:55,5030
2014-09-02 05:00,6847
2014-09-02 05:05,7543
2014-09-02 05:10,7045
2014-09-02 05:15,9271
2014-09-02 05:20,9265
2014-09-02 05:25,9062
2014-09-02 05:30,9364
2014-09-02 05:35,11481
2014-09-02 05:40,9360
2014-09-02 05:45,11072
2014-09-02 05:50,10680
2014-09-02 05:55,9775
2014-09-02 06:00,11987
2014-09-02 06:05,11688
2014-09-02 06:10,12187
2014-09-02 06:15,12891
2014-09-02 06:20,13903
2014-09-02 06:25,14614
2014-09-02 06:30,14511
2014-09-02 06:35,15111
2014-09-02 06:40,17428
2014-09-02 06:45,17737
2014-09-02 06:50,15915
2014-09-02 06:55,16321
2014-09-02 07:00,17934
2014-09-02 07:05,19342
2014-09-02 07:10,19548
2014-09-02 07:15,20363
2014-09-02 07:20,20654
2014-09-02 07:25,20764
2014-09-02 07:30,20256
2014-09-02 07:35,22568
2014-09-02 07:40,17527
2014-09-02 07:45,21655
2014-09-02 07:50,20763
2014-09-02 07:55,20569
2014-09-02 08:00,23289
2014-09-02 08:05,23393
2014-09-02 08:10,27015
2014-09-02 08:15,25204
2014-09-02 08:20,26211
2014-09-02 08:25,24500
2014-09-02 08:30,25306
2014-09-02 08:35,23680
2014-09-02 08:40,26922
2014-09-02 08:45,28927
2014-09-02 08:50,24001
2014-09-02 08:55,24097
2014-09-02 09:00,23087
2014-09-02 09:05,22884
2014-09-02 09:10,24803
2014-09-02 09:15,23399
2014-09-02 09:20,26305
2014-09-02 09:25,24410
2014-09-02 09:30,24098
2014-09-02 09:35,25306
2014-09-02 09:40,21887
2014-09-02 09:45,24092
2014-09-02 09:50,23494
2014-09-02 09:55,23301
2014-09-02 10:00,23593
2014-09-02 10:05,25717
2014-09-02 10:10,27423
2014-09-02 10:15,24910
2014-09-02 10:20,25111
2014-09-02 10:25,23189
2014-09-02 10:30,26023
2014-09-02 10:35,23184
2014-09-02 10:40,25920
2014-09-02 10:45,25910
2014-09-02 10:50,21187
2014-09-02 10:55,21378
2014-09-02 11:00,21470
2014-09-02 11:05,20049
2014-09-02 11:10,17843
2014-09-02 11:15,21074
2014-09-02 11:20,22079
2014-09-02 11:25,18054
2014-09-02 11:30,21774
2014-09-02 11:35,20873
2014-09-02 11:40,22200
2014-09-02 11:45,20770
2014-09-02 11:50,17748
2014-09-02 11:55,19865
2014-09-02 12:00,19052
2014-09-02 12:05,19758
2014-09-02 12:10,18553
2014-09-02 12:15,19764
2014-09-02 12:20,19058
2014-09-02 12:25,18340
2014-09-02 12:30,22081
2014-09-02 12:35,20063
2014-09-02 12:40,20766
2014-09-02 12:45,18345
2014-09-02 12:50,20576
2014-09-02 12:55,18654
2014-09-02 13:00,20957
2014-09-02 13:05,20254
2014-09-02 13:10,17535
2014-09-02 13:15,21061
2014-09-02 13:20,19657
2014-09-02 13:25,17138
2014-09-02 13:30,23784
2014-09-02 13:35,19357
2014-09-02 13:40,22080
2014-09-02 13:45,22484
2014-09-02 13:50,20158
2014-09-02 13:55,21675
2014-09-02 14:00,19354
2014-09-02 14:05,21780
2014-09-02 14:10,18041
2014-09-02 14:15,22178
2014-09-02 14:20,20258
2014-09-02 14:25,20454
2014-09-02 14:30,21266
2014-09-02 14:35,22787
2014-09-02 14:40,24281
2014-09-02 14:45,20960
2014-09-02 14:50,22481
2014-09-02 14:55,22079
2014-09-02 15:00,24386
2014-09-02 15:05,24481
2014-09-02 15:10,21971
2014-09-02 15:15,24296
2014-09-02 15:20,22977
2014-09-02 15:25,23895
2014-09-02 15:30,26704
2014-09-02 15:35,22894
2014-09-02 15:40,24791
2014-09-02 15:45,27318
2014-09-02 15:50,28631
2014-09-02 15:55,29333
2014-09-02 16:00,25805
2014-09-02 16:05,29641
2014-09-02 16:10,26803
2014-09-02 16:15,27918
2014-09-02 16:20,26100
2014-09-02 16:25,28629
2014-09-02 16:30,24491
2014-09-02 16:35,30955
2014-09-02 16:40,31237
2014-09-02 16:45,29843
2014-09-02 16:50,28524
2014-09-02 16:55,30847
2014-09-02 17:00,32456
2014-09-02 17:05,32748
2014-09-02 17:10,30244
2014-09-02 17:15,33978
2014-09-02 17:20,31046
2014-09-02 17:25,30464
2014-09-02 17:30,33171
2014-09-02 17:35,32481
2014-09-02 17:40,32258
2014-09-02 17:45,32566
2014-09-02 17:50,34693
2014-09-02 17:55,33172
2014-09-02 18:00,32879
2014-09-02 18:05,33880
2014-09-02 18:10,31556
2014-09-02 18:15,36097
2014-09-02 18:20,30642
2014-09-02 18:25,37610
2014-09-02 18:30,29431
2014-09-02 18:35,32563
2014-09-02 18:40,31047
2014-09-02 18:45,33582
2014-09-02 18:50,37303
2014-09-02 18:55,35580
2014-09-02 19:00,34574
2014-09-02 19:05,34174
2014-09-02 19:10,37511
2014-09-02 19:15,35389
2014-09-02 19:20,33065
2014-09-02 19:25,30670
2014-09-02 19:30,32874
2014-09-02 19:35,34089
2014-09-02 19:40,32470
2014-09-02 19:45,31974
2014-09-02 19:50,33273
2014-09-02 19:55,28241
2014-09-02 20:00,30657
2014-09-02 20:05,31568
2014-09-02 20:10,29148
2014-09-02 20:15,33693
2014-09-02 20:20,29947
2014-09-02 20:25,35786
2014-09-02 20:30,30750
2014-09-02 20:35,30149
2014-09-02 20:40,28833
2014-09-02 20:45,30558
2014-09-02 20:50,32874
2014-09-02 20:55,32659
2014-09-02 21:00,28929
2014-09-02 21:05,29137
2014-09-02 21:10,32365
2014-09-02 21:15,29138
2014-09-02 21:20,29140
2014-09-02 21:25,28730
2014-09-02 21:30,24899
2014-09-02 21:35,27632
2014-09-02 21:40,26433
2014-09-02 21:45,26222
2014-09-02 21:50,26512
2014-09-02 21:55,24508
2014-09-02 22:00,26008
2014-09-02 22:05,27014
2014-09-02 22:10,26916
2014-09-02 22:15,23800
2014-09-02 22:20,25605
2014-09-02 22:25,24486
2014-09-02 22:30,23701
2014-09-02 22:35,25711
2014-09-02 22:40,23274
2014-09-02 22:45,23180
2014-09-02 22:50,21264
